timestamp,price,market_cap,volume,coin
1774638139895,609.0381087407691,83042720359.27174,1104198368.7416713,binancecoin
1774641719373,609.9602088842689,83143458810.28168,1116964996.3288498,binancecoin
1774645290974,610.440516834249,83236322584.99963,1094190514.8975277,binancecoin
1774648965613,610.5059350205879,83238976811.7605,1094339324.0794528,binancecoin
1774652525905,610.3653058410478,83244354959.90057,1073650116.6155467,binancecoin
1774656124273,613.3624430515648,83642316144.80022,1030689224.995602,binancecoin
1774659734559,612.2788948642341,83488136615.81323,1076940740.669453,binancecoin
1774663319518,610.5687754694917,83251869992.59277,1046891443.329017,binancecoin
1774666933738,610.5688473965176,83271185491.59312,1060796983.6008611,binancecoin
1774670494561,610.8172245560991,83292484454.81216,1016887319.5982913,binancecoin
1774674134224,610.5200651294522,83274285727.45177,1045747486.0470308,binancecoin
1774677708301,611.9019854031665,83425951160.81989,1048185169.4635619,binancecoin
1774681351948,613.4295897788622,83634411347.77496,1018882723.6338029,binancecoin
1774684949664,613.4507329638375,83647027943.44637,1037175214.3109943,binancecoin
1774688403320,612.3332850798242,83497119655.41551,991103508.3843606,binancecoin
1774692039289,611.6894710139196,83410795631.95691,906518301.5770742,binancecoin
1774695671393,610.9340931924969,83306694552.87584,854174143.8414943,binancecoin
1774699321578,612.6276299410475,83526500116.5403,827912371.9334555,binancecoin
1774702960008,612.3305817421617,83499315562.79924,814829830.1861424,binancecoin
1774706546091,615.4676895271556,83937155277.33154,805292660.0194716,binancecoin
1774710107290,614.7665715420687,83857973913.1149,644109031.4202428,binancecoin
1774713727910,616.6996488999646,84088509265.91728,756134921.3537498,binancecoin
1774717319166,616.5447381677258,84060947741.65326,743716143.3525118,binancecoin
1774720896994,615.8268632222814,83970939195.92331,720018441.1412985,binancecoin
1774724529312,616.489264433559,84076001982.249,688422102.7221147,binancecoin
1774728148319,616.1749999367381,84003575989.09322,674276656.5869083,binancecoin
1774731722216,617.5372715311647,84203129966.47742,660298028.510442,binancecoin
1774735318093,615.1294035719777,83892445103.8308,663831969.0787541,binancecoin
1774738941591,615.3352065191189,83900172684.51309,662563126.5151395,binancecoin
1774742562382,610.4645237576061,83244498612.2906,657828397.9227824,binancecoin
1774746138318,610.9030311451905,83309623655.30353,662835093.484184,binancecoin
1774749744361,612.146472047206,83452252027.90494,636903963.6775532,binancecoin
1774753389948,613.0007440324362,83590332593.89365,650599947.2685919,binancecoin
1774756975923,613.7110302061519,83680999198.33708,664689269.0713978,binancecoin
1774760598707,612.6624310866996,83540969776.87888,631394969.4947819,binancecoin
1774764144381,613.3709443936473,83638760719.15634,662905508.0096377,binancecoin
1774767759213,613.780817557069,83700887481.48076,606685977.748782,binancecoin
1774771299478,613.3108770634869,83633786607.07822,641362826.8971009,binancecoin
1774774900890,613.5839973836462,83666924719.92162,609043287.357434,binancecoin
1774778467550,612.934236650978,83584904457.8956,625799486.0231541,binancecoin
1774782201974,611.7647422888411,83420664595.70004,622031363.8915956,binancecoin
1774785772064,613.353629564105,83628190316.66118,578345052.6847112,binancecoin
1774789399985,612.271316541388,83504141554.05934,639012257.1814542,binancecoin
1774793018164,609.8146724365281,83152625489.73738,616752713.3933865,binancecoin
1774796601562,608.8038810539305,83000359889.197,454886953.8897929,binancecoin
1774800167132,609.0528643008058,83027137577.84181,607477174.319122,binancecoin
1774803756115,609.1329976306284,83061155240.3312,570238003.0329392,binancecoin
1774807342459,608.7586138919014,83011265063.7522,620548414.437485,binancecoin
1774810931864,609.1555686680886,83080207260.82486,565330477.7548709,binancecoin
1774814476514,608.6596992240635,83009206707.98111,601418831.5686904,binancecoin
1774818174837,608.9653211385217,83034618796.38144,608771505.3568354,binancecoin
1774821777213,610.4358696669605,83198438365.72244,629592079.7059656,binancecoin
1774825354124,603.9023662539122,82115876194.08641,577153187.9584144,binancecoin
1774828941072,605.6869270198512,82611194532.15556,729996347.0299814,binancecoin
1774832576020,609.1911170871292,83059521452.25029,739682180.0404836,binancecoin
1774836197209,613.4403308251544,83675097825.99205,733151185.3751171,binancecoin
1774839732779,616.1312374277749,84013061021.68808,662188144.3012598,binancecoin
1774843249887,615.3552911510913,83873214774.32771,795563386.7186574,binancecoin
1774846901385,616.507236702612,84051534021.33963,805488524.4644415,binancecoin
1774850606294,616.5688092712602,84076699996.67123,804706457.2545859,binancecoin
1774854131969,615.40588465527,83921276346.81802,802171063.4060769,binancecoin
